"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"WU","Western Union","Common stocks","Mid cap","Information Technology","$7,171,798,600","5.18%","8.79","1.42","19.41","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$16,763,449,496","0.53%","36.88","2.16","1.65","Analyze"
"WRK","Westrock","Common stocks","Large cap","Materials","$11,357,966,133","2.16%","13.59","0.61","0.98","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$29,085,417,350","3.00%","11.66","2.89","2.79","Analyze"
"WHR","Whirlpool Corp","Common stocks","Large cap","Consumer Discretionary","$14,066,275,033","2.41%","7.19","0.64","2.87","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$31,201,965,238","6.24%","31.16","3.17","2.80","Analyze"
"WLTW","Willis Towers Watson PLC","Common stocks","Large cap","Financials","$29,532,891,050","1.23%","12.83","3.07","2.59","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$14,069,410,966","0.63%","13.61","1.53","2.13","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$9,931,543,530","1.16%","-12.12","2.92","-193.09","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$35,945,820,786","2.73%","22.85","2.76","2.37","Analyze"
"XLNX","Xilinx Inc","Common stocks","Large cap","Information Technology","$53,294,289,225","0.17%","66.98","15.36","15.78","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$20,946,583,596","0.96%","45.86","3.99","6.85","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$39,464,509,657","1.48%","25.16","6.13","-5.05","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$31,019,044,621","0.00%","36.83","5.67","11.05","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$26,057,095,838","0.77%","32.38","3.31","2.09","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$9,678,829,821","2.31%","8.35","3.35","1.26","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$114,293,004,821","0.41%","57.89","15.01","24.52","Analyze"
